"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT3G16330","Chir03Ox-b16100.2","MYA6.13",0.252,0.02,NA,NA,"cellular_component, molecular_function, secondary metabolic process","DEGs"
"AT5G66400","Chir08Ox-b30170.2","RAB18",0.136,0.019,NA,NA,"cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation","DEGs"
"AT1G29290","Chir01Ox-b27850.2","CEP14",0.3395,0.019,NA,NA,"apoplast, cellular response to nitrogen starvation, hormone activity, nitrate import, regulation of root development, response to carbon dioxide, response to osmotic stress","DEGs"
"AT2G34810","Chir04Ox-b16990.2","AT2G34810.1",0.556,0.1395,NA,NA,"cytoplasm, FAD binding, plant-type cell wall, response to jasmonic acid, response to wounding","DEGs"
"AT4G15120","Chir07Ox-b11440.2","DL3605W",0.602,0.0415,NA,NA,"carboxylic acid metabolic process, defense response to bacterium, molecular_function, nucleus, organic acid biosynthetic process, response to abscisic acid, secondary metabolic process","DEGs"
"AT1G65690","Chir02Ox-b11350.2","NHL6",0.378,0.026,NA,NA,"cytosol, molecular_function, plasma membrane, positive regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, response to salt","DEGs"
"AT3G49120","Chir05Ox-b14010.2","ATPERX34",0.5985,0.0745,NA,NA,"apoplast, cytosol, defense response, defense response to bacterium, defense response to fungus, extracellular region, Golgi apparatus, heme binding, pattern recognition receptor signaling pathway, peroxidase activity, plant-type cell wall, plant-type vacuole, reactive oxygen species metabolic process, response to light stimulus, response to oxidative stress, secretory vesicle, unidimensional cell growth","DEGs"
"AT2G02230","Chir05Ox-b01290.2","AtPP2-B1",0.487,0.145,NA,NA,"carbohydrate binding, cellular catabolic process, cellular lipid metabolic process, monocarboxylic acid metabolic process, nucleus, protein binding","DEGs"
"AT1G59590","Chir02Ox-b06850.2","AT1G59590.1",0.561,0.203,NA,NA,"cellular response to organic cyclic compound, defense response to bacterium, defense response to fungus, hormone-mediated signaling pathway, mitochondrion, regulation of defense response, regulation of immune system process, response to abscisic acid, response to chitin, response to molecule of bacterial origin, response to osmotic stress, response to oxidative stress, response to salicylic acid, response to water deprivation, response to wounding","DEGs"
"AT1G30135","Chir01Ox-b28420.2","JAZ8",0.6235,0.14,NA,NA,"nucleus, protein binding, regulation of defense response, regulation of jasmonic acid mediated signaling pathway, response to wounding","DEGs"
